"idnum","child_attend_kindergarten","povstatus","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1","c_neat_work_w3","c_curious_w3","c_interest_w3","f_youth_cor_w3","m_youth_cor_w3","f_quit_w4","m_quit_w4","father_fin_security_w234","mother_fin_security_w2345","hs_avg_score","child_edu_level","fparents_edustatus_w2345","mparents_edustatus_w2345"
3335,"yes","high-income",NA,7,"Some","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",25,31,NA,NA,"Not true",NA,NA,NA,"no","Yes","No",NA,"Completed high school","Neither parent attended college",NA
3336,"yes","high-income",9,9,"Just enough","Some","Female","No","At least one parent attended college",NA,NA,NA,"No","No",35,47,NA,NA,"Not true",NA,NA,NA,NA,"No","No",4,"Completed college/grad","Neither parent attended college","Neither parent attended college"
3337,"no","low-income",3,2,"Just enough","Not enough","Female","No","Neither parent attended college","black","hispanic",NA,"No","No",21,24,NA,NA,"Somewhat or sometimes true","yes",NA,NA,NA,"Yes","No",NA,NA,NA,"At least one parent attended college"
3338,"no","low-income",2,2,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",30,35,NA,NA,"Somewhat or sometimes true",NA,NA,NA,"no","Yes","No",NA,NA,NA,"Neither parent attended college"
3339,"yes","high-income",6,6,"Just enough","Just enough","Male","No","Neither parent attended college","black","hispanic",NA,"No","No",28,24,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3340,"yes","low-income",3,2,"Just enough","Just enough","Female","No","Neither parent attended college","white","black",NA,"No","No",18,20,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Some college, tech","Neither parent attended college","At least one parent attended college"
3341,"yes","high-income",6,NA,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",18,24,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",2.75,NA,"Neither parent attended college","Neither parent attended college"
3342,"yes","high-income",8,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",28,28,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",NA,NA,"At least one parent attended college","At least one parent attended college"
3343,NA,"low-income",1,2,"Some","Not enough","Female","Yes","Neither parent attended college","white",NA,"No","No","No",23,24,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3,"Completed high school","At least one parent attended college","At least one parent attended college"
3344,NA,"low-income",2,1,"Just enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",19,26,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2.75,"Completed high school","Neither parent attended college","At least one parent attended college"
3345,"yes","high-income",6,NA,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",29,32,NA,NA,"Not true",NA,"yes",NA,NA,"Yes","Yes",2.5,NA,"Neither parent attended college","Neither parent attended college"
3346,"yes","high-income",6,4,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",24,29,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Less than high school","Neither parent attended college","At least one parent attended college"
3347,"yes","low-income",NA,5,NA,NA,"Male",NA,"At least one parent attended college","black","black",NA,NA,NA,30,NA,"Somewhat or sometimes true","Very true or often true","Not true",NA,"no",NA,NA,NA,"No",3,"Some college, tech",NA,"Neither parent attended college"
3348,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","white",NA,NA,"No","No",27,31,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.5,"Some college, tech","At least one parent attended college","At least one parent attended college"
3349,"yes","low-income",8,8,"Just enough","Some","Female","No","At least one parent attended college",NA,NA,NA,"No","No",18,21,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",4,"Some college, tech",NA,"At least one parent attended college"
3350,"yes","low-income",NA,3,"Not enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",22,19,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Less than high school","Neither parent attended college","Neither parent attended college"
3351,"yes","high-income",8,8,"Just enough","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",25,28,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",4,"Some college, tech","Neither parent attended college","Neither parent attended college"
3352,"no","high-income",NA,NA,NA,"Not enough","Female","No","At least one parent attended college","white","white",NA,"No",NA,28,NA,NA,NA,"Not true","yes",NA,NA,"no","Yes","Yes",3.33333333333333,"Completed college/grad","At least one parent attended college","At least one parent attended college"
3353,"no","low-income",2,1,"Some","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",23,22,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
3354,"yes","low-income",NA,3,NA,"Just enough","Female","No","Neither parent attended college","black","hispanic",NA,"No",NA,20,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",1,NA,NA,"Neither parent attended college"
3355,NA,"low-income",NA,NA,NA,"Some","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA
3356,"yes","low-income",2,1,"Some","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",19,19,NA,NA,"Not true",NA,NA,"yes",NA,"Yes","Yes",1.75,"Completed high school","At least one parent attended college","Neither parent attended college"
3357,"yes","high-income",8,6,"Some","Just enough","Male","No","At least one parent attended college","white","black","Yes","No","No",26,25,NA,NA,"Not true",NA,NA,NA,NA,NA,"No",4,NA,"At least one parent attended college","Neither parent attended college"
3358,"yes","high-income",8,7,"Just enough","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",27,30,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.5,"Completed college/grad","At least one parent attended college","At least one parent attended college"
3359,NA,"low-income",NA,3,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1.75,NA,NA,"Neither parent attended college"
3360,"yes","low-income",4,3,"Just enough","Some","Male","No","At least one parent attended college","white","black",NA,"No","No",27,35,NA,NA,"Not true","no","no",NA,NA,"Yes","Yes",2.25,"Some college, tech","Neither parent attended college","At least one parent attended college"
3361,"yes","high-income",3,6,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",25,23,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3,"Some college, tech","Neither parent attended college","Neither parent attended college"
3362,"yes","low-income",NA,5,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",25,34,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",3,"Some college, tech","Neither parent attended college","At least one parent attended college"
3363,"yes","low-income",NA,5,"Just enough","Just enough","Male","No","At least one parent attended college","hispanic","black","No","No","No",31,22,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,"Completed high school","At least one parent attended college","At least one parent attended college"
3364,"yes","low-income",NA,NA,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic","Yes",NA,NA,26,NA,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"No","No",4,"Completed college/grad","Neither parent attended college","Neither parent attended college"
3365,"yes","low-income",2,4,"Some","Some","Female","Yes","Neither parent attended college","black","black","No","No","No",22,22,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
3366,"no","low-income",NA,1,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,22,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",2,"Less than high school","Neither parent attended college",NA
3367,NA,"low-income",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",32,31,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college",NA
3368,"yes","low-income",NA,4,NA,"Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","Yes",20,20,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3369,NA,"high-income",NA,8,NA,"Just enough","Female","No","At least one parent attended college","white","white",NA,"No",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3370,"yes","low-income",NA,NA,NA,"Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,17,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,NA,"Yes",3,"Completed high school",NA,"At least one parent attended college"
3371,"yes","high-income",8,NA,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",19,20,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
3372,"yes","high-income",6,NA,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",33,36,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",3.25,"Some college, tech","At least one parent attended college","Neither parent attended college"
3373,"yes","high-income",NA,NA,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",17,22,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3374,"yes","high-income",8,7,"Just enough",NA,"Female","No","At least one parent attended college","black","black",NA,"No","No",32,37,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.5,"Some college, tech","Neither parent attended college","At least one parent attended college"
3375,"yes","high-income",5,NA,"Some",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"No",29,32,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"No","No",3.25,"Completed college/grad","Neither parent attended college","Neither parent attended college"
3376,NA,"low-income",NA,3,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic","No","No",NA,20,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3377,"yes","low-income",4,4,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",34,40,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","No",3.25,"Completed high school",NA,"Neither parent attended college"
3378,"yes","low-income",NA,2,NA,"Some","Female","No","Neither parent attended college","black","black",NA,"No",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
3379,"no","low-income",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black","No","No",NA,31,NA,NA,NA,"Somewhat or sometimes true",NA,"no",NA,NA,"Yes","Yes",2.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
3380,"no","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",27,37,NA,NA,"Not true",NA,NA,NA,NA,"No","No",1,"Completed high school","At least one parent attended college","At least one parent attended college"
3381,"yes","low-income",NA,4,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic","Yes","Yes",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",3,"Some college, tech",NA,"Neither parent attended college"
3382,NA,"high-income",5,6,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",30,30,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3,NA,"At least one parent attended college","At least one parent attended college"
3383,"no","low-income",3,3,"Just enough","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",31,22,NA,NA,"Very true or often true",NA,NA,NA,NA,"Yes","Yes",3,"Completed high school",NA,"Neither parent attended college"
3384,"yes","low-income",5,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",21,20,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",3.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
3385,"yes","high-income",9,9,"Some",NA,"Female","No","At least one parent attended college","white","white",NA,NA,"No",38,39,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,"no",NA,"No","No",2.75,"Some college, tech","At least one parent attended college","At least one parent attended college"
3386,"yes","low-income",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,21,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.5,NA,"At least one parent attended college","At least one parent attended college"
3387,"yes","high-income",8,7,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",32,30,NA,NA,"Not true",NA,NA,NA,NA,"No","No",NA,"Completed college/grad","Neither parent attended college","Neither parent attended college"
3388,"no","low-income",NA,2,NA,"Not enough","Male","No","Neither parent attended college","hispanic","hispanic","No","No",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college",NA
3389,"yes","low-income",5,5,"Some","Some","Female","No","At least one parent attended college",NA,"black","Yes","No","No",18,20,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.66666666666667,NA,"Neither parent attended college","Neither parent attended college"
3390,"no","low-income",5,4,"Some","Just enough","Male","No","At least one parent attended college","hispanic","black",NA,"No","No",18,21,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",1.75,"Less than high school","At least one parent attended college","Neither parent attended college"
3391,"yes","high-income",7,5,"Some","Just enough","Female","No","At least one parent attended college","black","black","No","No","No",25,24,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.5,"Some college, tech","At least one parent attended college","At least one parent attended college"
3392,"yes","high-income",4,NA,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",27,29,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
3393,"yes","high-income",NA,5,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,41,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2.5,NA,"At least one parent attended college","Neither parent attended college"
3394,NA,"low-income",2,NA,"Some","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",20,19,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
3395,"yes","high-income",7,7,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",20,21,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.5,"Some college, tech","Neither parent attended college","At least one parent attended college"
3396,"yes","high-income",7,NA,"Just enough","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",35,35,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",3.5,"Completed college/grad","Neither parent attended college","At least one parent attended college"
3397,"yes","high-income",9,9,"Some","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",29,35,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
3398,"yes","low-income",4,4,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",24,21,NA,NA,"Not true","yes","no",NA,NA,"Yes","Yes",2.75,"Completed high school","At least one parent attended college","Neither parent attended college"
3399,"yes","low-income",4,NA,"Just enough","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","No",28,26,NA,NA,"Not true",NA,NA,NA,"yes","No","No",3.25,"Some college, tech","Neither parent attended college",NA
3400,"yes","high-income",8,8,"Just enough","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",32,30,NA,NA,NA,NA,NA,NA,NA,"Yes","No",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
3401,"yes","low-income",NA,1,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,38,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,NA,"Neither parent attended college","Neither parent attended college"
3402,NA,"low-income",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",20,33,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3403,"no","high-income",NA,8,NA,"Some","Male","No","Neither parent attended college","white","white",NA,"No",NA,19,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
3404,"no","low-income",NA,3,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,17,NA,NA,NA,NA,NA,NA,NA,"no","No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3405,"no","low-income",3,5,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,19,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Completed high school","Neither parent attended college","Neither parent attended college"
3406,"no","high-income",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","white","black","Yes","No",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",1.75,NA,"At least one parent attended college","Neither parent attended college"
3407,"no","high-income",NA,1,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No","No",24,22,NA,NA,"Somewhat or sometimes true",NA,NA,NA,"no","Yes","Yes",3.25,NA,"Neither parent attended college","Neither parent attended college"
3408,"yes","low-income",2,NA,"Just enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",17,18,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2.75,"Completed high school","At least one parent attended college","At least one parent attended college"
3409,"no","high-income",9,9,"Just enough","Some","Male","No","At least one parent attended college",NA,"white",NA,"No","No",33,35,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",3.33333333333333,"Some college, tech","At least one parent attended college","At least one parent attended college"
3410,NA,"low-income",4,5,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",39,37,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
3411,"yes","high-income",8,7,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",26,27,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.5,"Some college, tech","At least one parent attended college","At least one parent attended college"
3412,"yes","low-income",NA,6,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",29,30,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.75,NA,"Neither parent attended college","Neither parent attended college"
3413,NA,"high-income",NA,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",30,38,NA,NA,"Not true",NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3414,"yes","high-income",5,8,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",28,27,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3.75,"Some college, tech","At least one parent attended college","Neither parent attended college"
3415,"no","low-income",5,3,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",28,29,NA,NA,NA,NA,NA,NA,NA,"No","No",3.25,"Less than high school",NA,NA
3416,"no","low-income",2,3,"Not enough","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",23,27,NA,NA,"Not true",NA,NA,NA,NA,"No","No",2.75,"Completed high school","Neither parent attended college","Neither parent attended college"
3417,"yes","high-income",5,7,"Some",NA,"Female","No","At least one parent attended college","black","black",NA,"No","No",39,34,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,"No","Yes",2.25,"Completed high school","Neither parent attended college","Neither parent attended college"
3418,"yes","high-income",8,7,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",31,38,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.75,NA,"At least one parent attended college","Neither parent attended college"
3419,"no","high-income",NA,NA,"Some","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",21,31,NA,NA,"Not true",NA,NA,NA,"no","No","No",3,"Completed high school","At least one parent attended college","At least one parent attended college"
3420,"no","high-income",NA,1,"Some","Not enough","Female","No","Neither parent attended college","white","black",NA,"No","No",19,19,NA,NA,"Not true",NA,NA,NA,"no",NA,"Yes",3.5,"Completed college/grad",NA,"Neither parent attended college"
3421,"no","high-income",7,1,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",32,30,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.25,"Completed college/grad","At least one parent attended college","Neither parent attended college"
3422,"no","low-income",1,NA,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",37,36,NA,NA,"Not true",NA,NA,NA,"no","No","Yes",3.75,"Some college, tech",NA,"Neither parent attended college"
3423,"yes","low-income",4,3,"Just enough","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",19,20,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,NA,"Neither parent attended college","At least one parent attended college"
3424,NA,"low-income",NA,6,"Some",NA,"Female","No","At least one parent attended college","hispanic","hispanic",NA,NA,"No",25,29,"Somewhat or sometimes true","Somewhat or sometimes true","Not true",NA,NA,NA,NA,"No","No",3,"Some college, tech",NA,"Neither parent attended college"
3425,"yes","low-income",NA,2,"Some","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",20,19,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.25,"Completed high school","At least one parent attended college","Neither parent attended college"
3426,"yes","high-income",1,NA,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",18,18,NA,NA,"Not true","yes",NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
3427,"yes","low-income",2,NA,"Not enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",23,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
3428,"yes","high-income",8,8,"Some","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",30,31,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
3429,"yes","high-income",NA,NA,NA,"Some","Male","No","Neither parent attended college","white","white","Yes","No",NA,21,NA,NA,NA,"Somewhat or sometimes true",NA,"no",NA,NA,"No","Yes",3,"Completed high school","Neither parent attended college","Neither parent attended college"
3430,"yes","low-income",NA,2,NA,"Not enough","Female","No","At least one parent attended college","black","black","No","No",NA,30,NA,NA,NA,"Not true",NA,"no",NA,NA,NA,"Yes",2.75,"Completed high school",NA,"Neither parent attended college"
3431,"yes","high-income",8,8,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",34,35,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
3432,"yes","high-income",9,9,"Some","Just enough","Female","No","At least one parent attended college","black","hispanic","Yes","No","No",18,21,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,NA,"At least one parent attended college"
3433,"no","low-income",5,6,"Some","Not enough","Female","No","At least one parent attended college",NA,"black",NA,"No","No",25,22,NA,NA,"Somewhat or sometimes true","no",NA,NA,NA,"Yes","Yes",3.5,"Completed high school","At least one parent attended college",NA
3434,NA,"low-income",2,NA,"Just enough",NA,"Male","No","Neither parent attended college","black","hispanic",NA,"No","No",32,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3435,"yes","low-income",3,2,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",20,21,NA,NA,"Not true","no",NA,NA,NA,"Yes","Yes",3,"Completed high school","Neither parent attended college",NA
3436,"no","low-income",6,2,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",19,24,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","Yes",3.25,"Less than high school","Neither parent attended college","Neither parent attended college"
3437,"yes","low-income",2,3,"Not enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",29,44,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","Yes",3,"Completed high school","Neither parent attended college","Neither parent attended college"
3438,"yes","high-income",7,6,"Just enough","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",21,22,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Completed college/grad","At least one parent attended college","Neither parent attended college"
3439,"yes","high-income",9,5,"Some",NA,"Female","No","Neither parent attended college","white","white","Yes","No","No",15,22,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,"Completed high school","Neither parent attended college","Neither parent attended college"
3440,"yes","low-income",3,2,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",25,25,"Somewhat or sometimes true","Somewhat or sometimes true","Somewhat or sometimes true",NA,NA,NA,NA,"No","No",NA,"Completed college/grad","Neither parent attended college","Neither parent attended college"
3441,NA,"low-income",5,5,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",31,32,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college"
3442,NA,"low-income",NA,NA,NA,"Not enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,17,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,NA,"No",2.5,"Completed high school",NA,"Neither parent attended college"
3443,"yes","high-income",9,9,"Some",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",38,37,NA,NA,NA,NA,NA,NA,NA,"No","No",1.5,"Some college, tech","At least one parent attended college","Neither parent attended college"
3444,"yes","high-income",NA,6,"Just enough","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",22,26,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2.75,"Completed high school",NA,"Neither parent attended college"
3445,"yes","low-income",6,5,"Just enough","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",19,28,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",3.25,NA,"Neither parent attended college","Neither parent attended college"
3446,"yes","low-income",NA,3,NA,"Just enough","Female","No","Neither parent attended college","black","black","Yes","No",NA,34,NA,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","Yes",2.5,"Completed high school","At least one parent attended college","Neither parent attended college"
3447,"no","low-income",7,6,"Some",NA,"Male","No","At least one parent attended college","white","white",NA,"No","No",42,31,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,"Yes","No",2.75,"Completed high school","At least one parent attended college","At least one parent attended college"
3448,"yes","low-income",NA,3,NA,"Just enough","Female","Yes","Neither parent attended college","black","hispanic",NA,"No",NA,21,NA,NA,NA,NA,"yes",NA,NA,NA,"Yes","Yes",3.66666666666667,"Some college, tech","Neither parent attended college","At least one parent attended college"
3449,"yes","high-income",5,7,"Some","Just enough","Female","No","At least one parent attended college","black","hispanic","Yes","No","No",20,20,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","Neither parent attended college","Neither parent attended college"
3450,"yes","low-income",NA,NA,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic","No",NA,NA,26,NA,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,NA,"Yes",2.5,"Completed high school",NA,"At least one parent attended college"
3451,"yes","low-income",6,5,"Some",NA,"Female","No","Neither parent attended college","black","hispanic",NA,"No","No",24,22,"Very true or often true","Very true or often true","Not true","no",NA,NA,NA,"Yes","Yes",3.75,"Some college, tech",NA,"Neither parent attended college"
3452,NA,"high-income",8,8,"Some","Some","Male","Yes","At least one parent attended college","white","hispanic",NA,"No","No",27,28,NA,NA,NA,NA,NA,NA,NA,"No","No",3.25,"Some college, tech",NA,"Neither parent attended college"
